,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_svm__C,param_svm__gamma,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall
27,1.406672191619873,0.16167044606191677,0.9071616172790528,0.10849575371175452,50,100.0,0.1,"{'pca__n_components': 50, 'svm__C': 100.0, 'svm__gamma': 0.1}",0.9720670391061452,0.9720496894409938,0.9664596273291925,0.9608695652173913,0.9683032939714108,0.9679503105590063,0.004153227624440467,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.957175035045052,0.9575476424439198,0.9495554333219611,0.9393513228443351,0.9513401775755301,0.9509946470731745,0.006616952792178425,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9487741414816051,0.9456088951560828,0.9342150063616652,0.935879548889664,0.9430164944901978,0.941499532511494,0.005599784781929252,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9662360441191351,0.9708850931677019,0.9673913043478262,0.9429347826086956,0.9603214914572087,0.9615544778671522,0.009912335382272212,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28,1.6233674526214599,0.13916382654187198,0.7669554710388183,0.013270230961195192,50,1000.0,0.0001,"{'pca__n_components': 50, 'svm__C': 1000.0, 'svm__gamma': 0.0001}",0.9615145872129113,0.9565217391304348,0.9490683229813665,0.9503105590062112,0.947172156619018,0.9529192546583851,0.005320659974142339,31,0.9576021121292126,0.9576086956521739,0.9593167701863354,0.9599378881987578,0.9616519174041298,0.9592234767141219,0.0015266140718234815,0.9394137542824423,0.9319064502173919,0.9204192546583851,0.9221788002484479,0.9168145188513817,0.9261493630100485,0.008305204549059246,31,0.9341624345120445,0.9337828635194131,0.9365800178493676,0.9378002230854341,0.9401264222179628,0.9364903922368445,0.002353486883332908,0.9425687894042325,0.932921511627907,0.9204192546583851,0.923171027131783,0.9193074686481247,0.9276804998991494,0.00885880556690464,36,0.9313258391514201,0.933404831790472,0.9353216586954654,0.9348185241813834,0.9397432561497447,0.9349228219936971,0.002780255888433447,0.9363438362831219,0.9309006211180124,0.9204192546583851,0.9211956521739131,0.9143785917455158,0.9246503197975955,0.007888840594713013,31,0.9370740974001843,0.9341621894503711,0.9378527546584989,0.9408641038759415,0.9405108945762765,0.9380928079922544,0.0024524429696940325
29,1.9252066612243652,0.09034098696184581,0.4084948539733887,0.011083423389933372,50,1000.0,0.001,"{'pca__n_components': 50, 'svm__C': 1000.0, 'svm__gamma': 0.001}",0.9795158286778398,0.9763975155279503,0.9782608695652174,0.9720496894409938,0.9707893101305158,0.9754037267080745,0.0034234470298234536,1,0.9930113371641559,0.9925465838509316,0.9930124223602484,0.9933229813664596,0.9945660611706256,0.9932918771824844,0.0006836332577497869,0.9675605322554959,0.9630349301180127,0.9663833161024213,0.956071181057675,0.9536736467905785,0.9613464463437765,0.005541183862335406,1,0.9890846633898243,0.9883878023239722,0.989097770539219,0.9895943928763,0.9915109531806107,0.9895351164619852,0.001059995621653856,0.9738535740786545,0.9641230620155039,0.9616852762141874,0.9587868186132072,0.9598053092949912,0.963652553169369,0.005416354561764603,1,0.9886584434999797,0.9867020237164165,0.9881075380947433,0.9880435688091483,0.9913679985688747,0.9885759145378324,0.001537321016825723,0.9615716357713862,0.9619565217391304,0.9712732919254659,0.9534161490683231,0.9478410827963855,0.9592134419188928,0.008017329084978007,4,0.9895122992949079,0.9900960673326286,0.9900956903673768,0.9911641606770658,0.9916540657133938,0.9905044566770747,0.0007842267946939803
30,0.8974405288696289,0.05129571830553882,0.3334465026855469,0.013708128230993264,50,1000.0,0.01,"{'pca__n_components': 50, 'svm__C': 1000.0, 'svm__gamma': 0.01}",0.9739292364990689,0.9701863354037267,0.9639751552795031,0.962111801242236,0.9645742697327533,0.9669565217391304,0.004407087649977549,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9591501847424473,0.9527517461311212,0.9438418478666157,0.9395932245507012,0.9431320791920815,0.9476958063233698,0.007185628724297639,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9602294732765297,0.9594292803970224,0.9428172340302978,0.948991897493876,0.9551031321619556,0.9533148402844972,0.006592598838723595,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.958080557416072,0.9464285714285714,0.9448757763975155,0.9309006211180124,0.9322647588088466,0.9425132639653075,0.010032171646219001,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
31,1.5542180061340332,0.02027801572300107,0.9634884357452392,0.01186277909736011,50,1000.0,0.1,"{'pca__n_components': 50, 'svm__C': 1000.0, 'svm__gamma': 0.1}",0.9720670391061452,0.9720496894409938,0.9664596273291925,0.9608695652173913,0.9683032939714108,0.9679503105590063,0.004153227624440467,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.957175035045052,0.9575476424439198,0.9495554333219611,0.9393513228443351,0.9513401775755301,0.9509946470731745,0.006616952792178425,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9487741414816051,0.9456088951560828,0.9342150063616652,0.935879548889664,0.9430164944901978,0.941499532511494,0.005599784781929252,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9662360441191351,0.9708850931677019,0.9673913043478262,0.9429347826086956,0.9603214914572087,0.9615544778671522,0.009912335382272212,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
32,3.2990699768066407,0.15660722863383356,0.5948306083679199,0.016886864329867964,50,10000.0,0.0001,"{'pca__n_components': 50, 'svm__C': 10000.0, 'svm__gamma': 0.0001}",0.9751707014276847,0.9683229813664597,0.9602484472049689,0.9583850931677018,0.9676817899316346,0.9659627329192546,0.006057014549442951,21,0.9743749029352384,0.9753105590062112,0.974223602484472,0.9771739130434782,0.9770222015215029,0.9756210357981805,0.0012630721230313742,0.9609120995370595,0.9506767159378904,0.9387390129751532,0.9344403177155791,0.9489286167729586,0.9467408412191274,0.009344045489552385,22,0.9601851419847226,0.9613664714804943,0.9598643864984795,0.964529970971812,0.9642178379146148,0.9620327617700246,0.001978388460053239,0.964220956942476,0.9491230170607603,0.9329256846807952,0.9380952380952381,0.9532821559578748,0.947530769404694,0.011105550731887666,23,0.957433365100424,0.9617712419248421,0.9580167874218928,0.961751950345735,0.9626172699115707,0.9603181229408928,0.0021480905739900817,0.9576914551701208,0.952251552795031,0.9448757763975155,0.9309006211180124,0.9447306553665757,0.9460916222066937,0.009018650899767245,19,0.9630023509099597,0.960963061778121,0.9617411934508772,0.9673738836362551,0.9658400160070778,0.9637841011564581,0.002443611779346597
33,3.6235583782196046,0.4880154358959946,0.3194319725036621,0.012599729252222068,50,10000.0,0.001,"{'pca__n_components': 50, 'svm__C': 10000.0, 'svm__gamma': 0.001}",0.9751707014276847,0.9720496894409938,0.9701863354037267,0.9652173913043478,0.966438781852082,0.9698136645962733,0.003643153751297325,13,0.9989128746699798,0.9990683229813665,0.9986024844720497,0.9992236024844721,0.9993789784195001,0.9990372526054736,0.0002671933301231657,0.9606324226577391,0.9556516996509063,0.9535242878896129,0.9444774251713834,0.9461910235385629,0.9520971657442644,0.006008136887751454,13,0.998298093013089,0.9985425564465173,0.9978131964988959,0.9987851091660533,0.999028975164016,0.9984935860577142,0.00041837131810574705,0.9674270412337904,0.9629647594954341,0.9524772958546934,0.9545846094946402,0.9576170664553425,0.9590153731371872,0.005490536018203947,4,0.9990282508333492,0.9988338170413674,0.9982499293083822,0.9992226943052767,0.9993202178802383,0.9989309818737228,0.000379298210752877,0.9541967628620578,0.9487577639751552,0.9545807453416149,0.9351708074534162,0.9357682223641184,0.9456971496589617,0.008601164734458398,20,0.9975719479795566,0.9982519367343742,0.9973779051015612,0.9983489675901863,0.998738372870896,0.9980578260553148,0.000506745759746551
34,0.895823621749878,0.05487146496990519,0.3322439193725586,0.01512712932378368,50,10000.0,0.01,"{'pca__n_components': 50, 'svm__C': 10000.0, 'svm__gamma': 0.01}",0.9739292364990689,0.9701863354037267,0.9639751552795031,0.962111801242236,0.9651957737725295,0.9670807453416149,0.0043465309925771875,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9591501847424473,0.9527517461311212,0.9438418478666157,0.9395932245507012,0.9441980984844356,0.9479088777570839,0.0070618835462423835,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9602294732765297,0.9594292803970224,0.9428172340302978,0.948991897493876,0.9555736738902944,0.9534088901777763,0.006620736045614667,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.958080557416072,0.9464285714285714,0.9448757763975155,0.9309006211180124,0.9338223912076005,0.9428245969503505,0.00972887900278096,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
35,1.5579331398010254,0.020655771027867843,0.9657260417938233,0.008910822719553641,50,10000.0,0.1,"{'pca__n_components': 50, 'svm__C': 10000.0, 'svm__gamma': 0.1}",0.9720670391061452,0.9720496894409938,0.9664596273291925,0.9608695652173913,0.9683032939714108,0.9679503105590063,0.004153227624440467,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.957175035045052,0.9575476424439198,0.9495554333219611,0.9393513228443351,0.9513401775755301,0.9509946470731745,0.006616952792178425,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9487741414816051,0.9456088951560828,0.9342150063616652,0.935879548889664,0.9430164944901978,0.941499532511494,0.005599784781929252,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9662360441191351,0.9708850931677019,0.9673913043478262,0.9429347826086956,0.9603214914572087,0.9615544778671522,0.009912335382272212,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
