Actual,1,2,3,4,5,All
1,674,4,1,12,0,691
2,46,386,206,11,35,684
3,13,199,388,25,32,657
4,18,15,20,501,131,685
5,2,55,56,114,506,733
All,753,659,671,663,704,3450
