Actual,1,2,3,4,5,All
1,674,4,1,12,0,691
2,46,385,207,11,35,684
3,13,199,388,25,32,657
4,18,16,19,501,131,685
5,2,56,55,112,508,733
All,753,660,670,661,706,3450
